num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
3,47,60,17,5,43,40
3,42,60,18,0,42,42
3,41,60,20,3,40,38
3,54,60,19,14,41,40
3,41,60,22,11,38,31
3,37,60,19,8,41,31
3,45,60,25,10,35,34
3,44,60,21,9,39,36
3,38,60,22,0,38,37
3,45,60,22,10,38,37
3,42,60,17,5,43,37
3,43,60,21,5,39,39
3,44,60,24,9,36,35
3,38,60,17,2,43,39
3,51,60,17,11,43,40
3,50,60,18,11,42,39
3,41,60,22,6,38,35
3,42,60,18,0,42,42
3,39,60,21,0,39,39
3,48,60,22,14,38,34
3,46,60,13,4,47,42
3,41,60,25,7,35,34
3,35,60,28,5,32,29
3,46,60,18,11,42,35
3,51,60,16,12,44,39
3,35,60,25,1,35,35
3,43,60,21,4,39,39
3,38,60,22,2,38,38
3,51,60,20,14,40,37
3,46,60,22,18,38,28
3,44,60,16,1,44,44
3,46,60,20,7,40,40
3,39,60,21,4,39,36
3,39,60,28,12,32,24
3,45,60,21,10,39,37
3,45,60,22,12,38,34
3,43,60,19,7,41,36
3,34,60,26,1,34,34
3,40,60,20,1,40,40
3,44,60,17,5,43,41
3,40,60,20,2,40,38
3,48,60,15,10,45,38
3,39,60,20,4,40,37
3,40,60,20,0,40,40
3,41,60,20,1,40,40
3,39,60,24,8,36,31
3,39,60,23,3,37,36
3,48,60,16,5,44,43
3,48,60,19,9,41,38
3,44,60,24,12,36,32
3,47,60,20,10,40,36
3,44,60,16,1,44,44
3,42,60,18,0,42,41
3,42,60,18,2,42,41
3,42,60,19,1,41,40
3,43,60,16,0,44,43
4,70,90,31,15,59,56
4,68,90,24,11,66,54
4,65,90,27,10,63,57
4,59,90,31,14,59,47
4,70,90,31,15,59,58
4,73,90,30,12,60,60
4,77,90,27,18,63,59
4,80,90,32,23,58,56
4,66,90,28,14,62,48
4,66,90,27,13,63,52
4,71,90,27,15,63,58
4,76,90,28,19,62,56
4,80,90,27,21,63,61
4,67,90,32,15,58,56
4,71,90,25,18,65,55
4,66,90,36,19,54,48
4,78,90,25,16,65,61
4,74,90,22,12,68,62
4,40,90,27,18,63,25
4,65,90,25,20,65,48
4,59,90,33,6,57,53
4,59,90,37,23,53,41
4,65,90,36,21,54,45
4,73,90,30,14,60,58
4,73,90,32,20,58,52
4,83,90,26,21,64,62
4,74,90,29,15,61,58
4,66,90,29,13,61,53
4,65,90,37,17,53,52
4,63,90,31,12,59,51
4,63,90,37,13,53,51
4,76,90,24,18,66,58
4,65,90,29,8,61,59
4,39,90,39,37,51,5
4,49,90,28,24,62,26
4,73,90,28,18,62,55
4,54,90,35,2,55,52
4,70,90,25,13,65,58
4,79,90,31,23,59,56
4,30,90,28,27,62,8
4,72,90,34,24,56,47
4,70,90,36,17,54,52
4,83,90,28,23,62,57
4,39,90,28,23,62,23
4,78,90,25,19,65,57
4,24,90,24,23,66,6
4,64,90,34,14,56,50
4,76,90,30,22,60,54
4,57,90,27,14,63,41
4,75,90,29,21,61,53
4,32,90,30,27,60,11
4,64,90,30,17,60,48
4,66,90,30,24,60,41
4,82,90,28,20,62,61
4,80,90,36,24,54,54
4,60,90,37,19,53,41
4,68,90,28,8,62,60
4,76,90,23,16,67,59
4,80,90,28,19,62,60
4,74,90,24,17,66,56
4,77,90,25,16,65,61
4,77,90,37,28,53,46
4,75,90,28,14,62,61
4,79,90,25,21,65,62
4,78,90,28,22,62,56
4,68,90,30,13,60,56
4,75,90,21,18,69,60
4,83,90,33,28,57,55
4,60,90,45,19,45,43
4,78,90,27,15,63,63
