num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
3,35,60,9,3,51,36
3,34,60,13,1,47,35
3,37,60,11,4,49,36
3,55,60,10,6,50,46
3,51,60,15,10,45,40
3,49,60,4,1,56,46
3,37,60,9,5,51,33
3,50,60,8,2,52,47
3,46,60,4,4,56,41
3,50,60,13,10,47,40
3,38,60,8,3,52,38
3,51,60,13,7,47,44
3,53,60,11,6,49,46
3,54,60,11,5,49,47
3,46,60,7,2,53,45
3,51,60,13,8,47,43
3,56,60,9,8,51,48
3,50,60,8,5,52,44
3,50,60,12,3,48,45
3,35,60,13,5,47,31
3,45,60,8,3,52,41
3,56,60,10,7,50,49
3,37,60,12,4,48,33
3,56,60,7,3,53,53
3,37,60,9,4,51,32
3,36,60,5,1,55,37
3,50,60,10,5,50,44
3,53,60,9,3,51,48
3,34,60,8,3,52,31
3,36,60,8,4,52,34
3,41,60,5,2,55,38
3,42,60,6,4,54,39
3,36,60,13,6,47,30
3,42,60,10,7,50,36
3,16,60,8,5,52,15
3,44,60,5,2,55,44
3,32,60,12,3,48,30
3,46,60,7,1,53,45
3,47,60,12,10,48,33
3,54,60,8,5,52,50
3,52,60,13,9,47,41
3,37,60,15,6,45,31
3,50,60,16,8,44,40
3,49,60,8,0,52,45
3,40,60,11,4,49,36
3,37,60,6,2,54,37
3,34,60,8,3,52,38
3,51,60,8,4,52,48
3,51,60,8,3,52,48
3,31,60,11,3,49,32
3,47,60,11,7,49,39
3,50,60,10,4,50,44
3,56,60,8,3,52,52
3,38,60,12,1,48,35
3,49,60,9,7,51,41
3,38,60,11,1,49,35
3,43,60,12,6,48,37
3,58,60,4,4,56,53
3,17,60,11,11,49,10
3,46,60,6,3,54,43
3,53,60,8,5,52,48
3,43,60,12,6,48,38
3,42,60,10,6,50,36
3,54,60,9,6,51,47
3,34,60,12,5,48,33
3,56,60,9,6,51,50
3,33,60,7,3,53,34
3,10,60,10,9,50,9
3,36,60,8,3,52,36
3,42,60,10,6,50,42
3,32,60,10,5,50,29
3,56,60,11,7,49,47
3,56,60,6,6,54,51
3,31,60,11,3,49,32
3,56,60,9,8,51,47
3,50,60,12,7,48,39
3,46,60,11,6,49,40
3,56,60,13,11,47,44
3,37,60,13,7,47,32
3,13,60,11,10,49,6
3,40,60,7,3,53,36
3,55,60,7,5,53,51
3,46,60,13,8,47,38
3,48,60,8,7,52,42
3,48,60,12,1,48,46
3,42,60,9,8,51,32
3,46,60,6,2,54,43
3,53,60,9,6,51,47
3,53,60,7,3,53,50
3,40,60,8,2,52,39
3,56,60,7,7,53,47
3,43,60,11,7,49,37
3,56,60,8,5,52,51
3,35,60,8,1,52,37
3,50,60,10,3,50,46
3,47,60,5,2,55,45
3,42,60,12,4,48,40
3,38,60,10,1,50,37
3,35,60,5,0,55,40
3,54,60,7,7,53,47
3,50,60,8,4,52,44
3,51,60,12,8,48,43
3,58,60,10,8,50,50
3,48,60,10,3,50,44
3,53,60,8,5,52,44
3,48,60,14,3,46,45
3,43,60,6,2,54,40
3,54,60,10,6,50,47
3,55,60,10,8,50,47
3,50,60,11,0,49,49
3,50,60,11,9,49,42
3,48,60,5,4,55,44
3,40,60,14,12,46,27
3,48,60,7,4,53,46
3,58,60,11,10,49,48
3,47,60,8,5,52,41
3,51,60,7,2,53,51
3,37,60,6,2,54,37
3,36,60,11,3,49,35
3,56,60,8,7,52,49
3,49,60,11,8,49,43
3,46,60,10,9,50,37
3,54,60,12,8,48,46
3,52,60,8,6,52,47
3,48,60,10,8,50,41
3,44,60,18,11,42,32
3,36,60,16,7,44,29
3,57,60,7,6,53,51
3,33,60,9,1,51,34
3,49,60,3,2,57,47
3,52,60,11,7,49,44
3,52,60,10,6,50,47
3,53,60,13,10,47,42
3,38,60,6,1,54,37
3,39,60,7,3,53,38
3,43,60,17,13,43,30
3,56,60,9,6,51,45
3,51,60,10,7,50,43
3,38,60,9,5,51,38
3,37,60,10,4,50,34
3,27,60,13,11,47,22
3,53,60,10,6,50,44
3,51,60,8,4,52,45
3,44,60,10,10,50,36
3,47,60,15,5,45,41
3,37,60,11,6,49,33
4,66,90,19,11,71,60
4,61,90,11,2,79,58
4,82,90,8,4,82,70
4,59,90,12,3,78,55
4,74,90,16,4,74,69
4,49,90,16,10,74,40
4,62,90,12,3,78,59
4,61,90,16,11,74,52
4,43,90,12,6,78,40
4,57,90,13,6,77,55
4,73,90,17,1,73,71
4,85,90,21,18,69,68
4,77,90,15,9,75,61
4,53,90,7,2,83,56
4,80,90,11,8,79,71
4,55,90,12,5,78,51
4,55,90,24,6,66,52
4,76,90,12,7,78,70
4,57,90,10,2,80,62
4,81,90,12,11,78,68
4,73,90,14,5,76,63
4,64,90,17,5,73,61
4,78,90,13,5,77,75
4,50,90,14,7,76,45
4,73,90,10,7,80,65
4,81,90,13,9,77,73
4,75,90,12,4,78,69
4,84,90,19,16,71,66
4,55,90,11,1,79,58
4,69,90,16,7,74,61
4,60,90,14,3,76,54
4,60,90,16,2,74,59
4,83,90,10,5,80,72
4,73,90,9,6,81,65
4,73,90,19,8,71,59
4,43,90,10,4,80,43
4,79,90,21,12,69,63
4,56,90,15,4,75,54
4,75,90,22,17,68,58
4,50,90,14,5,76,50
4,63,90,13,1,77,63
4,75,90,18,5,72,64
4,79,90,12,7,78,70
4,75,90,16,10,74,64
4,78,90,18,7,72,69
4,61,90,16,11,74,49
4,59,90,13,6,77,56
4,67,90,16,7,74,62
4,79,90,16,8,74,66
4,48,90,16,6,74,46
4,20,90,20,17,70,11
4,74,90,14,5,76,67
4,45,90,20,11,70,41
4,79,90,14,6,76,68
4,83,90,12,7,78,72
4,74,90,13,7,77,61
4,69,90,7,2,83,67
4,76,90,15,9,75,64
4,82,90,14,7,76,72
4,57,90,15,3,75,55
4,73,90,8,5,82,70
4,60,90,15,3,75,58
4,83,90,18,12,72,66
4,86,90,16,11,74,70
4,81,90,9,4,81,71
4,75,90,15,9,75,63
4,66,90,15,5,75,64
4,59,90,18,4,72,53
4,83,90,6,5,84,76
4,81,90,13,8,77,67
4,59,90,17,10,73,53
4,67,90,19,6,71,61
4,81,90,11,6,79,71
4,67,90,14,7,76,57
4,60,90,12,4,78,60
4,56,90,21,6,69,55
4,79,90,14,10,76,66
4,53,90,14,4,76,54
4,75,90,12,4,78,70
4,51,90,17,7,73,47
4,80,90,17,11,73,68
4,52,90,13,9,77,47
4,49,90,15,4,75,53
4,60,90,11,2,79,57
4,88,90,15,13,75,72
4,80,90,14,5,76,69
4,62,90,9,2,81,58
4,81,90,19,12,71,64
4,73,90,15,6,75,63
4,57,90,16,8,74,52
4,78,90,19,15,71,60
4,77,90,19,12,71,66
4,81,90,9,2,81,78
4,48,90,10,8,80,48
4,62,90,10,2,80,60
4,46,90,25,12,65,35
4,57,90,22,1,68,55
4,76,90,17,11,73,67
4,50,90,10,5,80,52
