K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
5,2.1182380177980935,I_2,3942,15154,0.2601293387884387,3942,0.2601293387884387,15154
5,0.23168740800658882,I_3,6360,30309,0.20983866178362862,4911,0.16203107987726417,10103
5,0.0,I_4,8186,45462,0.18006246975496018,4858,0.10685847521006554,7577
5,0.0,I_5,10072,60620,0.16614978554932366,4490,0.07406796436819532,6062
5,0.0,I_6,11093,75780,0.14638427025600423,4055,0.05351016099234627,5052
5,1.8629526508612149,I_2,3932,15154,0.25946944701069025,3932,0.25946944701069025,15154
5,0.2316640974918027,I_3,6098,30309,0.2011943647101521,4756,0.15691708733379525,10103
5,0.0244435070819398,I_4,8276,45462,0.18204214508820554,4868,0.1070784391359817,7577
5,0.0,I_5,9774,60620,0.16123391619927416,4470,0.07373804025074233,6062
5,0.0,I_6,11215,75780,0.14799419371865927,4079,0.0538268672472948,5052
6,2.8254923236749825,I_2,3924,15154,0.2589415335884915,3924,0.2589415335884915,15154
6,0.712455214126353,I_3,6142,30309,0.20264607872249166,4879,0.16097528786828993,10103
6,0.09444330328205638,I_4,7855,45462,0.17278166380713564,4847,0.10661651489155778,7577
6,0.0,I_5,9396,60620,0.15499835037941273,4558,0.07518970636753547,6062
6,0.0,I_6,11236,75780,0.14827131169173924,4215,0.0556215360253365,5052
6,2.78915057635666,I_2,3836,15154,0.25313448594430515,3836,0.25313448594430515,15154
6,0.5130825276832924,I_3,6070,30309,0.20027054670229966,4889,0.1613052228710944,10103
6,0.1118554823690585,I_4,7812,45462,0.1718358189256962,4848,0.1066385112841494,7577
6,0.0,I_5,9630,60620,0.15885846255361266,4589,0.0757010887495876,6062
6,0.0,I_6,11072,75780,0.14610715228292426,4186,0.05523884930060702,5052
6,2.9536782935123127,I_2,3939,15154,0.2599313712551142,3939,0.2599313712551142,15154
6,0.5335139692858092,I_3,6052,30309,0.19967666369725165,4814,0.15883071035006105,10103
6,0.07078012352763126,I_4,7945,45462,0.17476133914038097,4916,0.10813426598037922,7577
6,0.04723626667659222,I_5,9526,60620,0.15714285714285714,4560,0.07522269877928077,6062
6,0.0,I_6,10987,75780,0.1449854842966482,4152,0.0547901821060966,5052
6,2.8129349757366504,I_2,3867,15154,0.2551801504553253,3867,0.2551801504553253,15154
6,0.6582199839141019,I_3,6251,30309,0.20624237025306014,4937,0.16288891088455573,10103
6,0.17667775823018844,I_4,7884,45462,0.17341955919229246,4894,0.1076503453433637,7577
6,0.0,I_5,9483,60620,0.15643352029033322,4587,0.0756680963378423,6062
6,0.0,I_6,10996,75780,0.1451042491422539,4176,0.05510688836104513,5052
6,2.674956628874079,I_2,3897,15154,0.25715982578857066,3897,0.25715982578857066,15154
6,0.4570783861790768,I_3,6007,30309,0.19819195618463162,4818,0.15896268435118283,10103
6,0.14167997039512756,I_4,8066,45462,0.1774229026439664,5007,0.11013593770621619,7577
6,0.02363314881033911,I_5,9484,60620,0.15645001649620588,4580,0.07555262289673376,6062
6,0.0,I_6,10897,75780,0.1437978358405912,4208,0.05552916336764318,5052
7,3.514720022248738,I_2,3878,15020,0.2581890812250333,3878,0.2581890812250333,15020
7,1.211323121658393,I_3,5948,30042,0.19798948139271685,4807,0.16000932028493442,10014
7,0.3199811417172894,I_4,7693,45060,0.17072791833111406,4921,0.10920994229915668,7510
7,0.04606109277031189,I_5,9235,60080,0.15371171770972036,4640,0.07723035952063914,6008
7,0.0,I_6,10680,75105,0.14220091871380067,4232,0.05634777977498169,5007
7,3.562834227273837,I_2,3955,15020,0.2633155792276964,3955,0.2633155792276964,15020
7,0.9280261094476152,I_3,5964,30042,0.19852206910325546,4877,0.1623393915185407,10014
7,0.1967926912406587,I_4,7732,45060,0.17159343098091434,4919,0.10916555703506436,7510
7,0.06902188185258844,I_5,9358,60080,0.1557589880159787,4654,0.07746338215712384,6008
7,0.0,I_6,10785,75105,0.14359896145396445,4256,0.05666733240130484,5007
7,3.40696610300756,I_2,3849,15020,0.25625832223701733,3849,0.25625832223701733,15020
7,1.1065209308331576,I_3,6051,30042,0.20141801477930896,4914,0.1635710005991612,10014
7,0.24663029853657717,I_4,7769,45060,0.17241455836662228,4986,0.11065246338215712,7510
7,0.1379363593732174,I_5,9297,60080,0.15474367509986683,4648,0.07736351531291612,6008
7,0.023030546385155944,I_6,11027,75105,0.14682111710272286,4269,0.056840423407229876,5007
7,3.482180705065906,I_2,3862,15020,0.25712383488681756,3862,0.25712383488681756,15020
7,1.1026592776685937,I_3,5868,30042,0.19532654284002396,4803,0.15987617335729978,10014
7,0.3384839416991711,I_4,7889,45060,0.17507767421216155,5013,0.11125166444740346,7510
7,0.0920867702518744,I_5,9457,60080,0.15740679094540613,4673,0.07777962716378163,6008
7,0.0,I_6,10857,75105,0.1445576193329339,4240,0.05645429731708941,5007
7,3.426246326503978,I_2,3743,15020,0.24920106524633823,3743,0.24920106524633823,15020
7,1.6112058345591003,I_3,6099,30042,0.2030157779109247,4974,0.16556820451368084,10014
7,0.36583267252901214,I_4,7730,45060,0.171549045716822,4996,0.11087438970261873,7510
7,0.06902132817706036,I_5,9355,60080,0.15570905459387482,4648,0.07736351531291612,6008
7,0.0,I_6,10810,75105,0.14393182877305105,4265,0.05678716463617602,5007
