p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.65,0.5170223509591345,I_4,1523,6732,0.226232917409388,747,0.6657754010695187,1122
0.65,0.9433427483520043,I_5,1361,6730,0.20222882615156018,510,0.7578008915304606,673
0.65,0.28613457433143996,I_6,1337,6735,0.19851521900519672,365,0.8129175946547884,449
0.7000000000000001,0.5308482403225437,I_2,1778,6728,0.26426872770511295,1778,0.26426872770511295,6728
0.7000000000000001,0.5418604027645321,I_3,1525,6729,0.22663100014861048,1067,0.4757021845742309,2243
0.7000000000000001,0.47294395259596456,I_4,1419,6732,0.2107843137254902,710,0.6327985739750446,1122
0.7000000000000001,0.3469293253450983,I_5,1205,6730,0.17904903417533433,451,0.6701337295690936,673
0.7000000000000001,0.22982120222622696,I_6,1044,6735,0.155011135857461,321,0.7149220489977728,449
0.7000000000000001,0.7314666142350043,I_2,1740,6728,0.25862068965517243,1740,0.25862068965517243,6728
0.7000000000000001,0.4868287945057343,I_3,1430,6729,0.2125130034180413,1009,0.4498439589835042,2243
0.7000000000000001,0.24248448109695755,I_4,1196,6732,0.1776589423648247,621,0.553475935828877,1122
0.7000000000000001,0.20521574082825367,I_5,1143,6730,0.1698365527488856,438,0.6508172362555721,673
0.7000000000000001,0.289354892116695,I_6,1064,6735,0.15798069784706756,316,0.7037861915367484,449
0.7000000000000001,0.5835230460242398,I_2,1770,6728,0.2630796670630202,1770,0.2630796670630202,6728
0.7000000000000001,0.5717322433753143,I_3,1487,6729,0.22098380145638283,1026,0.45742309407044135,2243
0.7000000000000001,0.4236659428039213,I_4,1327,6732,0.1971182412358883,662,0.5900178253119429,1122
0.7000000000000001,0.14937042211782717,I_5,1131,6730,0.16805349182763746,437,0.649331352154532,673
0.7000000000000001,0.1401614635499291,I_6,953,6735,0.1414996288047513,315,0.7015590200445434,449
0.7000000000000001,0.7694768872238509,I_2,1776,6728,0.26397146254458975,1776,0.26397146254458975,6728
0.7000000000000001,0.6823743334718739,I_3,1482,6729,0.22024074899687918,1036,0.4618814088274632,2243
0.7000000000000001,0.3625937610068345,I_4,1294,6732,0.19221628045157457,665,0.5926916221033868,1122
0.7000000000000001,0.28941978503931176,I_5,1163,6730,0.17280832095096582,464,0.6894502228826151,673
0.7000000000000001,0.17729513635034005,I_6,995,6735,0.147735708982925,315,0.7015590200445434,449
0.7000000000000001,0.7097596000494553,I_2,1785,6728,0.26530915576694414,1785,0.26530915576694414,6728
0.7000000000000001,0.7569143696364652,I_3,1474,6729,0.21905186506167335,1027,0.45786892554614356,2243
0.7000000000000001,0.2797514961210133,I_4,1206,6732,0.17914438502673796,649,0.5784313725490197,1122
0.7000000000000001,0.18689140823174205,I_5,1185,6730,0.1760772659732541,445,0.6612184249628529,673
