K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
3,0.10681106266853226,I_5,2677,15160,0.17658311345646438,1018,0.06715039577836411,1516
3,0.13928034717679694,I_6,2300,15165,0.15166501813386085,702,0.04629080118694362,1011
3,0.45516984483930933,I_2,4069,15154,0.268509964365844,4069,0.268509964365844,15154
3,0.23118889033709378,I_3,3397,15156,0.2241356558458696,2319,0.15300870942201109,5052
3,0.100589895428221,I_4,3058,15156,0.20176827659012933,1518,0.10015835312747427,2526
3,0.026713901718178123,I_5,2568,15160,0.16939313984168866,984,0.06490765171503958,1516
3,0.0,I_6,2192,15165,0.14454335641279262,688,0.04536762281569403,1011
4,0.7891556339791598,I_2,3855,15020,0.2566577896138482,3855,0.2566577896138482,15020
4,0.6720298319474786,I_3,3211,15021,0.21376739231742228,2382,0.158577990812862,5007
4,0.5484139478761435,I_4,2808,15024,0.1869009584664537,1579,0.10509850905218317,2504
4,0.22781268238862026,I_5,2438,15020,0.16231691078561916,1037,0.06904127829560586,1502
4,0.25342190806591547,I_6,2194,15030,0.14597471723220226,744,0.04950099800399202,1002
4,0.9272266674882913,I_2,3949,15020,0.2629161118508655,3949,0.2629161118508655,15020
4,0.751502091328752,I_3,3208,15021,0.21356767192597031,2387,0.1589108581319486,5007
4,0.384414461821662,I_4,2780,15024,0.18503727369542067,1537,0.10230298189563365,2504
4,0.31941531494514075,I_5,2539,15020,0.16904127829560586,1044,0.06950732356857524,1502
4,0.4311554128368458,I_6,2435,15030,0.1620093147039255,802,0.05335994677312043,1002
4,1.2948286136652212,I_2,3846,15020,0.25605858854860186,3846,0.25605858854860186,15020
4,0.5386982500848652,I_3,3183,15021,0.21190333533053723,2374,0.1580454031023234,5007
4,0.44674255061858886,I_4,2809,15024,0.1869675186368477,1529,0.10177050053248136,2504
4,0.40817540384198925,I_5,2482,15020,0.16524633821571239,1059,0.07050599201065247,1502
4,0.31296947478457726,I_6,2260,15030,0.15036593479707253,761,0.050632069194943445,1002
4,1.080686597910063,I_2,3935,15020,0.26198402130492676,3935,0.26198402130492676,15020
4,0.6847169124985965,I_3,3178,15021,0.21157046801145063,2363,0.15731309500033286,5007
4,0.23634136150090942,I_4,2632,15024,0.1751863684771033,1480,0.09850905218317359,2504
4,0.44292865060204856,I_5,2480,15020,0.16511318242343542,1052,0.07003994673768309,1502
4,0.4238865285927443,I_6,2301,15030,0.1530938123752495,780,0.05189620758483034,1002
4,1.4039995948772162,I_2,3967,15020,0.2641145139813582,3967,0.2641145139813582,15020
