p,VI,type
0.65,0.12728898222184296,I_6
0.65,0.7564055472053002,I_2
0.65,0.2601227185598216,I_3
0.65,0.1923388216338492,I_4
0.65,0.1392199829386085,I_5
0.65,0.1272892832007504,I_6
0.65,0.7301539663315137,I_2
0.65,0.28386815415193184,I_3
0.65,0.23118889033709378,I_4
0.65,0.10062002511726424,I_5
0.65,0.17985426668719384,I_6
0.7000000000000001,0.44022089368385087,I_2
0.7000000000000001,0.1598180262682632,I_3
0.7000000000000001,0.12109704165231013,I_4
0.7000000000000001,0.10067869344768558,I_5
0.7000000000000001,0.026713901718178123,I_6
0.7000000000000001,0.37023914278060405,I_2
0.7000000000000001,0.11880192910054475,I_3
0.7000000000000001,0.0,I_4
0.7000000000000001,0.06549275107679946,I_5
0.7000000000000001,0.10060461223925485,I_6
0.7000000000000001,0.3561357992098479,I_2
0.7000000000000001,0.27435984956740583,I_3
0.7000000000000001,0.10060461223925485,I_4
0.7000000000000001,0.10676651846435205,I_5
0.7000000000000001,0.053412988511800076,I_6
0.7000000000000001,0.3271016036953175,I_2
0.7000000000000001,0.07395047005923228,I_3
0.7000000000000001,0.05341298851180008,I_4
0.7000000000000001,0.053412889081288356,I_5
0.7000000000000001,0.026713901718178123,I_6
0.7000000000000001,0.454796690122196,I_2
0.7000000000000001,0.13928034717679696,I_3
0.7000000000000001,0.08008224659528623,I_4
0.7000000000000001,0.053412889081288356,I_5
0.7000000000000001,0.026713901718178123,I_6
0.75,0.3371717514089674,I_2
0.75,0.026713901718178123,I_3
0.75,0.026713901718178123,I_4
0.75,0.026713901718178123,I_5
0.75,0.0,I_6
0.75,0.26441816639773486,I_2
0.75,0.1272592529422189,I_3
0.75,0.026713901718178123,I_4
0.75,0.026713901718178123,I_5
0.75,0.026713901718178123,I_6
0.75,0.3076079839585856,I_2
0.75,0.026713901718178123,I_3
0.75,0.08011207530542204,I_4
0.75,0.0,I_5
0.75,0.04726629762067823,I_6
0.75,0.20028464481704433,I_2
0.75,0.09211775666199068,I_3
0.75,0.053412889081288356,I_4
0.75,0.0,I_5
0.75,0.053412988511800076,I_6
0.75,0.19269075660314233,I_2
0.75,0.08011207530542203,I_3
0.75,0.0,I_4
0.75,0.0,I_5
0.75,0.0,I_6
0.8,0.17144981760234276,I_2
0.8,0.08012669268594413,I_3
0.8,0.053442520247390074,I_4
0.8,0.0,I_5
0.8,0.0,I_6
0.8,0.15395854128423656,I_2
0.8,0.026713901718178123,I_3
0.8,0.0,I_4
0.8,0.0,I_5
0.8,0.0,I_6
0.8,0.16606654390745337,I_2
0.8,0.026713901718178123,I_3
0.8,0.026713901718178123,I_4
0.8,0.0,I_5
0.8,0.0,I_6
0.8,0.19264778903564023,I_2
0.8,0.06549275107679947,I_3
0.8,0.07395047005923228,I_4
0.8,0.0,I_5
0.8,0.026713901718178123,I_6
0.8,0.2599939490824883,I_2
0.8,0.026713901718178123,I_3
0.8,0.0,I_4
0.8,0.053442520247390074,I_5
0.8,0.0,I_6
0.8500000000000001,0.053412988511800076,I_2
0.8500000000000001,0.026713901718178123,I_3
0.8500000000000001,0.0,I_4
0.8500000000000001,0.0,I_5
0.8500000000000001,0.0,I_6
0.8500000000000001,0.10067879422188344,I_2
0.8500000000000001,0.08011207530542203,I_3
0.8500000000000001,0.0,I_4
0.8500000000000001,0.0,I_5
0.8500000000000001,0.0,I_6
0.8500000000000001,0.14168037083160656,I_2
0.8500000000000001,0.026713901718178123,I_3
0.8500000000000001,0.053412889081288356,I_4
0.8500000000000001,0.0,I_5
0.8500000000000001,0.0,I_6
0.8500000000000001,0.053412889081288356,I_2
0.8500000000000001,0.05344252024739008,I_3
0.8500000000000001,0.0,I_4
0.8500000000000001,0.0,I_5
0.8500000000000001,0.0,I_6
0.8500000000000001,0.12728898222184296,I_2
0.8500000000000001,0.0,I_3
0.8500000000000001,0.0,I_4
0.8500000000000001,0.0,I_5
0.8500000000000001,0.0,I_6
0.9,0.0,I_2
0.9,0.0,I_3
0.9,0.0,I_4
0.9,0.0,I_5
0.9,0.026713901718178123,I_6
0.9,0.026713901718178123,I_2
0.9,0.0,I_3
0.9,0.0,I_4
0.9,0.0,I_5
0.9,0.0,I_6
0.9,0.04726629762067823,I_2
0.9,0.0,I_3
0.9,0.0,I_4
0.9,0.026713901718178123,I_5
0.9,0.0,I_6
0.9,0.04726629762067823,I_2
0.9,0.0,I_3
0.9,0.0,I_4
0.9,0.0,I_5
0.9,0.0,I_6
0.9,0.05341298851180008,I_2
0.9,0.0,I_3
0.9,0.0,I_4
0.9,0.0,I_5
0.9,0.0,I_6
0.95,0.0,I_2
0.95,0.0,I_3
0.95,0.0,I_4
0.95,0.026713901718178123,I_5
0.95,0.0,I_6
0.95,0.053412889081288356,I_2
0.95,0.0,I_3
0.95,0.0,I_4
0.95,0.0,I_5
0.95,0.0,I_6
0.95,0.026713901718178123,I_2
0.95,0.0,I_3
0.95,0.0,I_4
0.95,0.0,I_5
0.95,0.0,I_6
0.95,0.026713901718178123,I_2
0.95,0.0,I_3
0.95,0.0,I_4
0.95,0.0,I_5
0.95,0.0,I_6
0.95,0.0,I_2
0.95,0.0,I_3
0.95,0.0,I_4
0.95,0.0,I_5
0.95,0.0,I_6
1.0,0.0,I_2
1.0,0.0,I_3
1.0,0.0,I_4
1.0,0.0,I_5
1.0,0.0,I_6
1.0,0.0,I_2
1.0,0.0,I_3
1.0,0.0,I_4
1.0,0.0,I_5
1.0,0.0,I_6
1.0,0.026713901718178123,I_2
1.0,0.0,I_3
1.0,0.0,I_4
1.0,0.0,I_5
1.0,0.0,I_6
1.0,0.026713901718178123,I_2
1.0,0.0,I_3
1.0,0.0,I_4
1.0,0.0,I_5
1.0,0.0,I_6
1.0,0.0,I_2
1.0,0.0,I_3
1.0,0.026713901718178123,I_4
1.0,0.0,I_5
1.0,0.0,I_6
